YOJ,HIGH LEVEL,HIGH LEVEL,C,58,37,17,117,9,53,1110
HBR,HOBART MUNI,HOBART,U,34,59,28,99,3,4,1564
HOB,LEA CO RGNL,HOBBS,U,32,41,15,103,13,1,3661
HWO,NORTH PERRY,HOLLYWOOD,U,26,0,5,80,14,25,9
YHI,HOLMAN,HOLMAN ISLAND,C,70,45,47,117,48,21,117
HOM,HOMER,HOMER,U,59,38,44,151,28,35,84
HST,HOMESTEAD ARB,HOMESTEAD,U,25,29,18,80,23,1,7
HOP,CAMPBELL AAF,HOPKINSVILLE,U,36,40,6,87,29,46,573
HTL,ROSCOMMON CO,HOUGHTON LAKE,U,44,21,35,84,40,16,1150
HUL,HOULTON INTERNATIONAL,HOULTON,U,46,7,23,67,47,31,489
EFD,ELLINGTON FLD,HOUSTON,U,29,36,26,95,9,31,32
HOU,WILLIAM P HOBBY,HOUSTON,U,29,38,43,95,16,44,46
IAH,GEORGE BUSH INTCNTL HOUSTON,HOUSTON,U,29,58,49,95,20,23,97
YHB,HUDSON BAY,HUDSON BAY,C,52,49,0,102,18,41,1175
HON,HURON RGNL,HURON,U,44,23,6,98,13,42,1289
YGR,ILES DE LA MADELEINE,ILES DE LA MADELEINE,C,47,25,29,61,46,41,34
ILI,ILIAMNA,ILIAMNA,U,59,45,13,154,54,39,186
IPL,IMPERIAL CO,IMPERIAL,U,32,50,3,115,34,43,-56
INS,INDIAN SPRINGS AF AUX,INDIAN SPRINGS,U,36,35,13,115,40,24,3133
IND,INDIANAPOLIS INTERNATIONAL,INDIANAPOLIS,U,39,43,2,86,17,39,797
INL,FALLS INTERNATIONAL,INTERNATIONAL FALLS,U,48,33,58,93,24,11,1185
YEV,INUVIK MIKE ZUBKO,INUVIK,C,68,18,15,133,28,58,224
YFB,IQALUIT,IQALUIT,C,63,45,23,68,33,21,110
ISP,LONG ISLAND MAC ARTHUR,ISLIP,U,40,47,42,73,6,0,99
JAN,JACKSON INTERNATIONAL,JACKSON,U,32,18,40,90,4,33,346
MKL,MC KELLAR SIPES RGNL,JACKSON,U,35,35,59,88,54,56,434
JAX,JACKSONVILLE INTERNATIONAL,JACKSONVILLE,U,30,29,38,81,41,16,30
LRF,LITTLE ROCK AFB,JACKSONVILLE,U,34,55,5,92,8,47,311
NCA,NEW RIVER MCAS,JACKSONVILLE,U,34,42,30,77,26,22,25
NIP,JACKSONVILLE NAS,JACKSONVILLE,U,30,14,9,81,40,50,22
NZC,CECIL FLD,JACKSONVILLE,U,30,13,7,81,52,35,81
JBR,JONESBORO MUNI,JONESBORO,U,35,49,54,90,38,46,262
JNU,JUNEAU INTERNATIONAL,JUNEAU,U,58,21,17,134,34,34,19
YKA,KAMLOOPS,KAMLOOPS,C,50,42,8,120,26,31,1133
